timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643127977006,233,HomePage-6,200,OK,Users 1-43,text,true,,4067,137,61,61,https://blazedemo.com/assets/bootstrap-table.css,231,0,0
1643127975729,1565,HomePage,200,OK,Users 1-46,text,true,,286732,917,60,60,https://blazedemo.com/,146,0,4
1643127975729,146,HomePage-0,302,Found,Users 1-46,text,true,,219,111,60,60,http://blazedemo.com/,146,0,4
1643127975876,443,HomePage-1,200,OK,Users 1-46,text,true,,3228,111,60,60,https://blazedemo.com/,441,0,139
1643127976321,32,HomePage-2,200,OK,Users 1-46,text,true,,83982,153,60,60,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,13,0,8
1643127976353,274,HomePage-3,200,OK,Users 1-46,text,true,,28981,134,60,60,https://blazedemo.com/assets/bootstrap.min.js,162,0,0
1643127976627,203,HomePage-4,200,OK,Users 1-46,text,true,,39488,136,60,60,https://blazedemo.com/assets/bootstrap-table.js,150,0,0
1643127976830,317,HomePage-5,200,OK,Users 1-46,text,true,,126767,135,60,60,https://blazedemo.com/assets/bootstrap.min.css,155,0,0
1643127977147,147,HomePage-6,200,OK,Users 1-46,text,true,,4067,137,60,60,https://blazedemo.com/assets/bootstrap-table.css,146,0,0
1643127974488,2825,HomePage,200,OK,Users 1-21,text,true,,286732,917,59,59,https://blazedemo.com/,163,0,6
1643127974488,163,HomePage-0,302,Found,Users 1-21,text,true,,219,111,59,59,http://blazedemo.com/,163,0,6
1643127974652,1342,HomePage-1,200,OK,Users 1-21,text,true,,3228,111,59,59,https://blazedemo.com/,1342,0,138
1643127975995,25,HomePage-2,200,OK,Users 1-21,text,true,,83982,153,59,59,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,10,0,4
1643127976021,263,HomePage-3,200,OK,Users 1-21,text,true,,28981,134,59,59,https://blazedemo.com/assets/bootstrap.min.js,160,0,0
1643127976284,259,HomePage-4,200,OK,Users 1-21,text,true,,39488,136,59,59,https://blazedemo.com/assets/bootstrap-table.js,210,0,0
1643127976543,423,HomePage-5,200,OK,Users 1-21,text,true,,126767,135,59,59,https://blazedemo.com/assets/bootstrap.min.css,259,0,0
1643127976966,347,HomePage-6,200,OK,Users 1-21,text,true,,4067,137,59,59,https://blazedemo.com/assets/bootstrap-table.css,347,0,0
1643127975379,1943,HomePage,200,OK,Users 1-39,text,true,,286732,917,59,59,https://blazedemo.com/,431,0,4
1643127975379,431,HomePage-0,302,Found,Users 1-39,text,true,,219,111,59,59,http://blazedemo.com/,431,0,4
1643127975810,512,HomePage-1,200,OK,Users 1-39,text,true,,3228,111,59,59,https://blazedemo.com/,507,0,142
1643127976324,31,HomePage-2,200,OK,Users 1-39,text,true,,83982,153,59,59,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,12,0,5
